portal,data_publicacao,titulo,url,crime_violento,crime_violento_calc,categoria,tipo_principal,tipo_detalhado,gravidade,genero_vitima,idade_vitima,faixa_etaria
acritica,2025-11-19,Polícia Civil incinera quatro toneladas de entorpecentes apreendidos ao longo deste ano,https://www.acritica.com/policia/policia-civil-incinera-quatro-toneladas-de-entorpecentes-apreendidos-ao-longo-deste-ano-1.389439,FALSE,FALSE,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
acritica,2025-11-19,"Em Benjamin Constant, polícia prende jovem com mais de 15 quilos de pasta base de cocaína",https://www.acritica.com/policia/em-benjamin-constant-policia-prende-jovem-com-mais-de-15-quilos-de-pasta-base-de-cocaina-1.389411,FALSE,FALSE,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
acritica,2025-11-19,Homem é condenado a 18 anos de prisão pela morte de enteado com TEA,https://www.acritica.com/policia/homem-e-condenado-a-18-anos-de-pris-o-pela-morte-de-enteado-com-tea-1.389409,TRUE,TRUE,Crime Letal Violento,Homicídio,Homicídio consumado,extrema,masculino,18,18–29 (jovem)
acritica,2025-11-19,PC-AM prende homem por roubo em comércio no Alvorada,https://www.acritica.com/policia/pc-am-prende-homem-por-roubo-em-comercio-no-alvorada-1.389407,FALSE,TRUE,Roubo Violento,Roubo/Assalto,Roubo/assalto com confronto,alta,masculino,NA,idade não informada
acritica,2025-11-19,Polícia divulga imagem de adolescente que desapareceu no bairro Compensa,https://www.acritica.com/policia/policia-divulga-imagem-de-adolescente-que-desapareceu-no-bairro-compensa-1.389402,FALSE,FALSE,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
acritica,2025-11-19,Homem condenado por roubos no interior é preso na Zona Oeste de Manaus,https://www.acritica.com/policia/homem-condenado-por-roubos-no-interior-e-preso-na-zona-oeste-de-manaus-1.389388,FALSE,TRUE,Roubo Violento,Roubo/Assalto,Roubo/assalto com confronto,alta,masculino,NA,idade não informada
acritica,2025-11-19,Suspeito de estuprar duas universitárias é preso em Manaus,https://www.acritica.com/policia/suspeito-de-estuprar-duas-universitarias-e-preso-em-manaus-1.389389,FALSE,FALSE,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
acritica,2025-11-19,"ALE-AM autoriza novo empréstimo de R$ 1,5 bilhão à gestão Wilson Lima",https://www.acritica.com/policia/ale-am-autoriza-novo-emprestimo-de-r-1-5-bilh-o-a-gest-o-wilson-lima-1.389386,FALSE,FALSE,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
acritica,2025-11-20,Homem é preso pela segunda vez em três dias por violência doméstica no interior do Amazonas,https://www.acritica.com/policia/homem-e-preso-pela-segunda-vez-em-tres-dias-por-violencia-domestica-no-interior-do-amazonas-1.389508,FALSE,FALSE,Outros,Não classificado com precisão,Requer análise manual,indefinida,masculino,NA,idade não informada
acritica,2025-11-20,Justiça autoriza e “Dama do Tráfico” vai cumprir prisão domiciliar,https://www.acritica.com/policia/justica-autoriza-e-dama-do-trafico-vai-cumprir-pris-o-domiciliar-1.389488,FALSE,TRUE,Crime Organizado,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,indefinido,NA,idade não informada
acritica,NA,Meio Ambiente & Sustentabilidade,https://www.acritica.com/opiniao/meioambientesustentabilidade,FALSE,FALSE,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
acritica,NA,Quarentena no Rio Negro,https://www.acritica.com/opiniao/quarentenanorionegro,FALSE,FALSE,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
