data_publicacao,portal,titulo,tipo_principal,categoria,gravidade
2025-11-15,acritica,Tiroteio no “Suvaco de Cobra” mata Babidi e deixa um homem ferido em Manaus,Não classificado com precisão,Outros,indefinida
2025-10-31,acritica,Rocam recupera pistola da PM em tiroteio com traficantes,Não classificado com precisão,Outros,indefinida
2025-10-02,acritica,Homem baleado dentro do shopping Ponta Negra morre no SPA da Compensa,Não classificado com precisão,Outros,indefinida
2025-10-01,acritica,Homem é baleado dentro de shopping na zona Oeste de Manaus,Não classificado com precisão,Outros,indefinida
2025-09-11,acritica,Polícia Civil prende homem por ameaçar com arma de fogo e injuriar ex-companheira,Não classificado com precisão,Outros,indefinida
2025-09-03,acritica,Estuprador em série que violentou pelo menos seis mulheres em Manaus é preso no interior do Pará,Não classificado com precisão,Outros,indefinida
2025-08-27,acritica,"Homem é baleado, agredido e abandonado pelo comparsa após assaltar mercadinho em Manaus",Não classificado com precisão,Outros,indefinida
2025-08-22,acritica,"Em um único dia, três estupradores de crianças e adolescentes foram presos em Manaus",Não classificado com precisão,Outros,indefinida
2025-08-10,acritica,"Cantor ""Dubarranco"" e filha são baleados após show",Não classificado com precisão,Outros,indefinida
2025-06-22,acritica,Pai e filho de 2 anos morrem em tiroteio enquanto andavam de moto em Manaus,Não classificado com precisão,Outros,indefinida
2025-06-05,acritica,"Em São Gabriel da Cachoeira, homem é preso por violência doméstica e posse irregular de arma de fogo",Não classificado com precisão,Outros,indefinida
2025-06-03,acritica,Homem é preso em flagrante com arma de fogo e munições no Parque São Pedro,Não classificado com precisão,Outros,indefinida
2025-05-27,acritica,"Após noite de tiroteio, corpo de homem é encontrado com marcas de tiros na zona leste de Manaus",Não classificado com precisão,Outros,indefinida
2025-05-07,acritica,"Polícia Federal conclui investigação referente ao Massacre do Rio Abacaxis, no interior do Amazonas",Não classificado com precisão,Outros,indefinida
2025-04-28,acritica,Homem é preso após efetuar disparos de arma de fogo em via pública no bairro Alvorada,Não classificado com precisão,Outros,indefinida
2025-04-01,acritica,Homem é preso com arma de fogo no bairro Colônia Antônio Aleixo,Não classificado com precisão,Outros,indefinida
2025-03-29,acritica,'X-Salada' é baleado e preso em operação policial na zona Norte de Manaus,Não classificado com precisão,Outros,indefinida
2025-03-28,acritica,"PC-AM e PMAM prendem homem por ameaçar os vizinhos com arma de fogo, na zona rural de Apuí",Não classificado com precisão,Outros,indefinida
2025-03-10,acritica,Corpo encontrado com sinais de tortura em Manacapuru é de jovem desaparecido desde a semana passada,Não classificado com precisão,Outros,indefinida
2025-02-27,acritica,Bando invade casa do PM na zona leste de Manaus; um dos suspeitos morreu baleado em confronto,Não classificado com precisão,Outros,indefinida
2025-02-18,acritica,Acusado de chacina no bairro Santa Etelvina é condenado a mais de 64 anos de prisão,Não classificado com precisão,Outros,indefinida
2025-02-02,acritica,"“Ato covarde”, polícia busca criminosos envolvidos em tiroteio que baleou duas crianças em Iranduba",Não classificado com precisão,Outros,indefinida
2025-01-25,acritica,"Tiroteio entre policiais e narcotraficantes resulta na apreensão de 1,4 tonelada de drogas",Não classificado com precisão,Outros,indefinida
2025-01-15,acritica,Polícia prende homicida foragido da Justiça em Rio Preto da Eva,Não classificado com precisão,Outros,indefinida
2025-01-14,acritica,Polícia prende homem em flagrante por porte de arma de fogo e ameaça em Uarini,Não classificado com precisão,Outros,indefinida
2025-01-02,acritica,IML busca familiares de homem falecido por arma de fogo em Manaus,Não classificado com precisão,Outros,indefinida
